Var1,Var2,Cat1,Cat2,Cat3,Var3,Var4,Var5,Cat4,Var6,Var7,Var8,Target
99.6,154.8,0,0,1,3.5,16.8,2.7,0,13.53,701.1,157.6,1
104.3,146.7,1,1,1,2.9,0.8,2.7,0,9.5,540.6,116.9,0
96.1,146.4,0,1,1,7.3,29.6,2.4,1,0.2,601.8,192.2,0
102.9,179.2,0,0,0,2.5,17.7,2.4,1,16.3,1034.6,127.8,0
98.8,215.8,0,0,1,0.5,15.52,2.7,0,10.56,1143.2,174.6,1
98.2,125,1,0,0,2.6,8.8,2.3,1,2,843.2,119.1,0
94.9,177.1,0,0,0,3.9,13.7,2.3,0,13.3,754.3,108.2,0
111,154.9,0,1,1,3.6,13.68,2.8,0,5.28,1004.1,116.9,1
99.4,93.1,0,0,0,5.1,20.4,2.9,0,11,938.3,98.8,1
77.4,131,0,0,1,0.9,1.28,2.7,0,0.22,1106.5,133.7,1
98.5,107.7,1,0,1,5.2,35.6,2.7,1,16.8,789.2,151.4,0
89.5,109.2,0,1,1,5.6,6.96,2.8,1,10.01,977.3,126.2,1
121.9,151.6,0,1,1,11.5,21.3,2,1,1.4,891.8,177.8,0
104.3,193.6,0,0,0,3.2,19.9,2.1,0,16.9,795.3,114.8,0
104.5,170.3,1,0,0,4.5,55.9,2.2,1,4.8,1012.5,106,0
96.7,148.6,1,1,1,1.6,44.72,2.4,0,3.19,818.2,121.1,1
108.2,142.2,1,0,1,3,15.84,2.4,1,13.97,804,169.2,1
111,168.4,0,1,1,4.6,7.04,2.3,1,0.77,1295.2,162.8,1
100.8,148.1,0,1,1,0.9,20.6,2.8,1,6.9,1239.3,128.9,1
103.8,157.2,0,0,0,4.8,11.5,2.4,0,11.1,861.5,127.2,0
111.5,138.5,0,0,0,6.8,10.9,2.3,0,0.8,809.4,186.8,0
115.2,131.7,0,1,1,0.7,4.96,2.2,0,7.37,926.7,123.9,1
102.1,158.1,0,0,0,9,4.24,2.3,0,65.78,1402.7,178.7,1
98.5,166.7,0,1,1,1,16.72,3.2,1,9.46,1117.9,192.8,1
102.6,111.7,0,0,0,5.7,3.7,2.5,0,2.4,863,188.1,0
89.3,209.1,1,1,1,5.1,20.5,2,0,9.3,705.8,191.3,0
88,92.8,0,1,1,5.3,11.76,3,0,4.07,1033.1,118.4,1
106.8,140.7,1,0,1,3.1,3.92,2.6,1,5.72,1022,87.9,1
90.2,140.1,1,0,1,0.6,4,2.9,1,7.5,1130,140.6,0
88.6,131,0,1,1,4.3,56.5,2,1,3.1,1210,134.4,0
107.9,139.2,0,1,1,3.3,12.8,2.3,1,3.9,905.5,137.4,0
106.2,189.2,0,0,0,4.8,2.9,2.3,0,5.1,1199.5,180.7,0
94,213.6,0,0,0,6.7,7.52,2.5,0,4.29,1142.1,116.6,1
109.6,187,0,0,0,7.4,1.5,2.4,1,9.1,652.2,128.5,1
93.1,103.2,0,1,1,0.7,25.7,2.3,1,16.1,988,188.8,0
81.8,129.4,0,1,1,7.2,3.9,2.3,1,20.9,1079,166.8,0
91.2,156.3,1,1,1,3.6,17.2,3.1,0,6.05,1028.6,145,1
97.3,216.3,0,0,0,4.5,11.6,2.7,0,14.2,973.4,127.7,0
116.4,153.7,1,1,1,7.4,29.52,3.2,0,4.51,990,162.1,1
85.5,153,0,1,1,0.9,17,2.2,1,19.5,1111.5,173.3,0
115.4,119.1,1,1,1,4.7,1.6,2.7,0,15.73,1055.8,127.3,1
104.4,90.5,0,0,1,1.2,10.24,2.7,0,0,1030.7,173.6,1
103.8,119.6,1,1,1,2,29.92,2.3,0,1.76,812.1,196.3,1
87.4,131.5,0,0,0,1.6,32.1,3,0,13.6,1342.3,100,0
95.8,149.1,1,1,1,5.2,5.8,2.8,0,10.5,535.8,146.2,1
97.4,128.3,0,0,0,2,51.44,2.9,0,5.39,653.1,138.9,1
96.3,210.5,0,0,0,4.7,21.6,2.2,0,10.6,1299.8,102.8,1
124.7,119.6,0,0,1,5.6,15.12,2.9,0,3.85,1273.6,142.4,1
91.5,120.9,1,1,1,4,89.2,2.7,0,19.9,1039.6,148.1,1
93.3,124.9,0,0,1,4.3,7.76,2.3,0,0.55,1098.4,189.1,1
109.4,144.9,0,0,0,1,16.48,2.8,0,7.59,803.1,140.4,1
101.3,78.7,1,0,0,2.4,4.08,2.4,1,8.36,859.3,122.1,1
98.1,154.8,0,0,0,13.1,9.3,2.1,0,6.1,1207.3,130.7,0
100.2,106.2,1,0,0,11.1,4.32,3,1,9.79,988.1,112.7,1
105.5,111.8,0,0,0,10.1,35,2,1,3.4,1054.8,163.4,0
123.1,100,1,0,1,8.8,10.6,2.5,1,7.4,661,100.7,0
85.3,97.7,0,0,1,3.7,25.4,2.6,0,10.3,1061.5,187.3,0
117.6,72.5,0,1,1,0.9,1.04,2.5,1,13.64,717.1,92,1
105.2,199.2,1,1,1,5,26.24,2.4,0,13.42,815.2,198.9,1
121.5,146.7,1,0,0,7.8,0.16,2.3,1,26.07,1345.2,82.3,1
110.5,163.1,0,0,0,2.9,0.3,3,0,15.4,1176.7,151.1,0
109.4,191.7,0,0,0,4.4,5.6,2.9,0,1.4,920.3,199.9,0
115.6,160.2,1,1,1,1.9,2,2.3,0,13.09,1026.7,137.9,1
96.2,136.9,1,1,1,0.6,0.64,3,0,5.39,992.2,110.3,1
103,195.2,0,0,0,2.8,1.9,2.5,1,23,1233.1,165.2,0
85.4,127.2,1,0,1,7.8,21.04,2.4,1,3.19,1157.3,124.7,1
103.8,159.1,1,1,1,2.8,2.8,3,0,31.35,680.2,111.3,1
94.8,192.6,1,0,1,4.6,16.2,2.4,1,5.3,946.1,194.1,0
108,130.8,1,0,0,0.4,9.68,2.4,1,4.73,868.1,158.2,1
102.2,137.6,1,0,1,0.6,1.9,2.1,1,7.8,740.6,167.8,0
110.8,168.3,1,0,0,3.9,1.2,2.6,1,14,1099.5,104,0
105.6,131.5,1,0,0,1.8,10.6,2.3,1,18.8,1024.2,178.7,0
93.5,110.6,0,0,0,2.2,9.7,2,0,6.7,985.8,108.8,0
100.5,137.5,0,0,1,3.5,7.8,2.5,0,11.5,1091.3,105.3,0
96,87.8,1,1,1,6.1,3.36,2.2,0,7.92,934.1,180.7,1
102.4,170.1,0,0,0,3.1,7,2.3,0,5.6,1152.9,107.1,0
95.7,175.3,1,0,1,5.1,19.2,2.2,1,1.2,1130.7,119.4,0
93.7,156.1,0,0,1,10.9,3.2,2.2,0,3.1,1118.5,161.1,1
100,214.5,1,0,0,4.1,3.28,2.5,1,19.8,1015.8,113.1,1
100,158,0,1,1,1.2,15.1,2.9,0,19.3,861.8,158.4,0
94.2,160.9,0,0,0,6.5,11,2.5,0,8.6,1154.2,103.3,0
111.4,139,1,0,0,9.6,5.68,2.4,1,4.51,1326,191.7,1
98.9,157,0,1,1,3.1,2.4,2.6,1,2.5,828.7,182.5,1
110.5,115.4,0,0,0,11.7,22.5,2.4,0,2.9,1055.3,168,0
100.5,95.7,0,0,0,6.3,3.04,3.2,0,1.1,898.6,192.1,1
99.8,110.2,1,1,1,8.3,16.5,2.8,0,5.9,1039.4,150.3,1
97.5,151.1,0,0,0,5,2.08,2.9,0,27.17,1224.8,193.2,1
122.1,123.4,0,0,1,1.9,18.48,2.5,0,1.76,1014.9,159.6,1
89.2,141.2,0,0,0,11.4,9.1,2.3,0,5.4,1022.5,191.3,0
122.7,134.9,1,1,1,1.5,37.2,2.5,0,10.56,1105.3,151.6,1
97.8,120.7,0,0,1,2.1,30.1,2.3,0,7.3,1102.9,161.6,0
86,112.2,0,0,1,4.5,0.5,3,0,3.9,903.8,106.4,0
98.9,149.8,0,0,0,8.5,35.1,2.7,1,9,926.4,174.7,0
99.3,103.5,0,0,0,5.4,10.2,3,0,3.1,1268.7,102.5,1
86.9,186.8,1,0,0,1.1,0.6,2.7,1,17.6,1303.1,189.9,0
81.9,180.5,0,0,0,3.2,43.3,2.3,1,0.9,973.9,183.3,0
119.2,153.4,0,1,1,1.7,4.08,3.2,0,8.58,1089.2,167.6,1
100.1,187.7,1,0,0,4.7,24.16,2.4,1,0.88,657.8,144.9,1
87.7,130.5,0,0,0,6.1,9.9,2.9,0,9.7,1080.3,110.1,0
82.2,119.3,0,0,0,4.6,6.4,2.3,0,4.8,1667.3,125.4,0
110.9,193.6,0,0,0,3.3,3.6,3,0,4.1,925.5,197,0
104,129.7,0,0,0,8,68.8,2.9,1,18.7,1048.7,107.9,0
100.7,207.2,1,0,1,2.2,43.5,2.5,1,11.2,953.4,111,0
123,158.6,0,0,1,3,11,2,0,1,989.7,114,0
107.2,119.6,1,1,1,2.1,12.96,3.1,0,11.88,1024.6,81.3,1
86.5,163.7,0,1,1,1.2,10.5,2.7,0,4.6,984.2,109.4,0
79.1,126.6,1,0,0,4.7,13.3,2.6,1,1.1,1226.3,146.4,0
102.2,161.5,0,1,1,3.5,0.4,2.1,1,5.4,895.6,191.5,0
102.4,165.1,0,0,1,5.4,28.8,2.5,0,2.5,1040.2,174.9,0
99.7,140.7,1,1,1,2.2,9.5,3,0,0.7,1238.2,181.4,1
76.4,176.8,0,0,0,1.1,1.7,2,1,14.7,826.2,189.5,0
98.3,135.1,0,0,0,1.4,13.2,2.5,0,9.46,1229.6,148.4,0
98.2,103.2,0,0,0,0.6,26.64,2.4,0,12.32,804.2,118.6,1
123.6,82.9,1,0,1,4.5,12.88,2.9,1,18.81,925.7,130.9,1
97.8,95,0,0,1,9.8,29.8,2.4,0,11.8,1079.9,184.3,0
108.8,90.9,0,1,1,2,76.4,2,1,4.6,883.2,114.1,0
104,167.4,0,0,0,2.2,19.28,2.6,0,6.6,1218,161.6,1
103.7,160.7,1,0,1,8.2,2.7,2.3,1,3.4,1248.8,120.8,0
83.9,207.7,0,1,1,3.7,17.5,3,1,5.2,963.8,186.8,1
112.2,124.8,1,1,1,2.7,60.72,2.9,0,5.5,1133.2,93.3,1
90.5,131.7,1,0,1,0.7,14.8,2.9,1,12.98,971.8,104.5,1
99.2,176.4,0,0,0,5.4,148.9,2,0,3.5,823.4,164.2,0
83.8,188.7,0,0,1,1.9,19.6,2.2,0,5.17,1067.5,130,1
111.5,150.5,0,0,0,4.5,4.16,3.2,0,6.49,1031.9,143.2,1
95.7,154.8,0,0,0,2.7,8.2,2,0,27.4,726.8,102,1
95.9,190.2,0,0,0,3.5,2.9,2.7,0,5.9,989.9,197.9,0
104.4,184.1,1,0,1,1,37.6,2.6,1,0.6,1062.6,147.4,0
101.1,130.3,0,0,0,3,5.8,3,0,4.8,1130.7,116.8,0
105.3,122.7,0,1,1,8.8,19.76,3.1,0,2.53,1100,108.5,1
94.6,175,0,0,0,4.3,12.5,2.7,0,12,776.6,137.8,1
104.3,154.7,1,0,1,13.8,9,2.2,1,2.9,988.7,155.8,0
100.4,131.5,1,0,1,3.3,25.44,2.7,1,7.59,1180,139.6,1
108.4,148.4,1,0,0,5.4,34.8,3,1,9.9,524.2,172.3,0
109,133,0,0,0,11.6,15.04,3.2,0,1.87,1149.3,168.7,1
93.7,131,1,0,1,7.9,19.6,2.5,1,10.7,895.5,114.8,0
92.9,130.3,0,1,1,4.8,26,2.9,1,1.21,970.4,160.7,1
108.6,157.6,0,0,1,0.9,3.2,2.8,0,12.87,1155.3,145,1
108.8,125.7,0,0,0,2.4,0.16,2.7,0,5.61,1138,132.2,1
102.4,158.6,1,0,0,2.2,17.36,2.6,1,5.72,1093.7,102.7,1
95.8,159.2,1,1,1,3.8,4.32,3.1,0,6.6,856.5,85,1
113.5,126.6,1,0,1,2.6,1.3,2.3,1,10.5,653.7,102.6,0
109.3,136.7,0,0,0,4.5,29,2.7,1,0.6,961,190.7,0
104.8,150.6,0,0,0,1.1,6.5,2.8,0,13.4,866.7,131.3,0
99.4,169.2,1,0,0,1.9,4.1,2.6,1,1.1,959.9,145,0
109.9,169.2,0,1,1,3.3,12.4,2.7,0,7.7,979.1,165.9,0
92.5,111.9,0,0,0,4.2,30.6,3,0,11,1090.7,155.9,0
105.3,114.1,1,0,1,2.3,12.32,2.5,1,2.53,1327.9,156.1,1
96.4,140.1,0,1,1,1.6,6.8,3,0,20.68,908.5,161,1
91.9,144.2,0,0,1,6,16.9,2.9,0,9.8,961.8,109.4,0
97.1,231.3,0,1,1,3.7,4,2.5,1,8.9,1154.8,124.4,0
94.8,155.4,1,1,1,8.1,62.4,3,0,2.6,634.7,170.6,0
94.4,231.6,0,0,0,3.3,21.9,2.4,1,4.7,571.5,164.3,0
93.1,127,1,0,0,8.3,10.2,2.4,1,7.8,1170.3,175.4,0
118,138.7,0,0,1,4.8,16.24,2.9,0,6.82,896.9,131.6,1
94,119.3,1,1,1,16.4,7.52,3.2,0,12.54,1316.8,89.2,1
89.1,105.2,0,1,1,4.4,0.3,2.2,1,11.3,654.8,200,0
105,156.1,1,0,0,2.4,1.4,2.6,1,10.5,957.1,128.5,0
99.2,137.4,1,1,1,12.5,24.16,2.6,0,41.36,1031,152,1
98.2,150.9,0,0,1,0.2,39.4,2.3,0,6.6,788.6,115.1,0
99.1,191.9,1,0,1,1.1,13.04,2.9,1,13.86,1117.4,136.2,1
88.7,149.7,0,0,0,2.9,12.96,2.2,0,9.02,1095.2,96.7,1
115.5,157.4,0,0,0,13.5,36.5,2.7,0,7.1,1178.5,112.6,0
80.7,129.3,0,1,1,1.2,1.7,2.7,1,15.3,1206.1,165.2,0
106.4,216.4,0,0,0,3.9,4.8,2.2,0,2.3,1202.3,146.5,0
98.7,166.2,1,1,1,8.2,22.56,3.2,0,3.96,1044.4,186.8,1
85.7,152.3,1,0,0,3.7,2.24,2.2,1,10.45,916.6,132,1
86.1,96.7,1,0,0,4.8,7.3,2.3,1,5.7,1272.1,143.2,0
101.2,127,0,0,0,1.9,7.28,2.7,0,18.92,1057,159,1
102.2,133,1,0,0,1.3,32.88,2.6,1,0.22,927.1,184,1
103.3,140.8,1,0,1,8.7,12.32,2.5,1,9.46,1092.2,163,1
100.1,93.6,1,1,1,1.9,6.16,2.8,0,1.32,904.8,165.5,1
87.5,158.8,0,0,1,3.1,2.4,3,0,13.2,1208.4,107.4,1
101.1,135.6,1,1,1,5.2,1.8,2.9,0,3.1,1200.2,181.3,0
99.5,152.5,0,1,1,3,0.96,3.1,1,5.06,1185.1,152.7,1
100.5,149.4,0,0,0,1.7,22.64,2.8,0,16.17,916.3,113.5,1
102.7,153,0,0,1,4.8,39.8,3,0,14.4,1451.6,141.5,0
115.3,140.9,0,1,1,6.2,69.7,2.5,1,12.3,1174.8,110.4,0
102,129.8,0,0,1,3.6,7.28,2.5,0,37.62,1223.3,152,1
101,178.5,0,0,0,0.2,20.72,2.5,0,6.49,979.6,188.9,1
98.1,110.2,0,1,1,3.4,32.16,2.8,0,0.88,1287.2,138.5,0
120.4,138.9,0,0,1,7.5,7.6,2.6,0,1.65,790.6,177.3,1
119.6,148.7,1,0,0,3.2,28.2,2.9,1,11.1,1074.7,121,0
98.4,145.3,1,1,1,2,45.6,2.8,0,28.27,767,153.8,1
100,65.7,0,0,1,0.4,34.56,2.2,0,13.86,1455.5,171.7,1
90.9,113.2,0,0,0,10.8,6.9,2.8,0,28.6,1239.4,192.3,0
103.7,129.6,1,1,1,8.8,11.8,2.3,0,14.3,912.5,132.9,0
82,138.6,1,0,1,4,57.6,2.5,1,2,1217,153.9,0
116.5,182.9,0,0,0,5.5,0.96,2.9,0,6.93,940.6,124.3,1
99.6,143.6,0,0,0,2.1,9.2,2.2,0,6.71,779,133.8,1
107,146.7,0,1,1,7.8,32.3,2.6,1,6.9,1056.3,106.9,0
103.3,185.5,0,0,0,5.6,1.04,2.9,0,9.13,893,187.7,1
81,184.6,0,0,0,5.3,2.4,2.7,1,5.3,671.5,199.3,0
103.3,137,1,1,1,9,7.28,3.2,0,12.65,1193.8,199.8,1
93.3,153,0,0,0,1.7,26.8,2.4,0,0.66,686.3,153.8,1
95.2,159,1,0,0,1.9,9.28,3,1,36.85,1018.8,129.1,1
114.7,155.6,1,1,1,2.1,12.56,2.4,0,22,1303.5,137.4,1
110.3,206.3,0,1,1,7.2,22.1,2.7,0,3.4,1006.1,196.2,0
101.5,189.2,0,0,0,8.6,16.6,2.7,0,16.6,1241.6,153.2,0
93.3,150.6,1,1,1,5.7,16.88,2.3,0,39.38,1014.3,106.2,1
95.8,110.3,0,0,0,1.9,19.04,3,0,1.21,1093.9,143.4,1
85.1,106,1,1,1,8.2,13.92,2.5,0,3.19,1008.6,156.1,0
103,135.7,0,0,0,7.7,58.3,2.7,0,18,941.3,180.7,0
70.8,144.2,0,0,0,6.8,51.1,2.3,1,6.4,962.1,152.8,0
108,140.9,0,0,0,4.4,63.84,2.9,0,9.46,950.2,193.6,1
111.8,156.4,0,0,0,3,24.64,2.8,0,3.52,1060,188.5,1
100.3,217.1,0,0,0,5.5,22.1,2.9,0,21.4,1206.5,186.4,1
105.1,113.1,0,0,0,5.5,5.6,2.8,0,10.3,1272.4,143.5,1
105.1,130.2,0,1,1,1.5,3.8,2.3,1,1.1,1054.2,139.7,0
107.6,148.4,1,1,1,6,23.4,2.5,0,10.4,951.5,138.8,0
101.5,160.9,0,0,1,6.2,12,2.8,0,3.1,739.2,105.7,1
115.8,172.7,0,1,1,5.4,8,3,1,19.5,1254.3,102.2,0
117,145.4,0,0,1,5.9,30.48,2.9,0,5.06,1075.7,134.5,1
95.1,174.1,0,1,1,3.4,25.3,2.8,1,4,867.5,177.2,0
97.2,148.3,1,1,1,3.5,43.76,2.7,0,17.6,1210,173.7,0
103,86.7,1,1,1,1.8,65.7,3,0,14.3,706.5,106,0
102.6,156.8,0,0,0,6,25.7,2.9,0,2.7,737.7,153.8,0
94.3,133.5,0,0,1,1.5,31.92,3.2,0,10.78,970.5,189.3,0
102.1,134.6,0,1,1,1.8,28.5,2.9,0,6,1532,142.1,0
103.6,176.9,0,0,0,9.1,36.3,2.7,0,4.9,1085.4,185.9,0
85,112.7,0,0,0,5.8,31.3,2.2,0,18,855.9,180.3,0
102.6,165.3,0,1,1,1.3,6.32,2.5,1,3.96,1008,99.8,1
112.6,144.7,0,0,0,3.7,15.12,3.2,0,8.47,1240.8,163.8,1
103.8,170.5,0,1,1,12.2,2,2.3,1,5.5,1289.6,136.9,0
109.8,68.3,1,1,1,6.8,3.68,2.7,0,4.62,889.6,140.8,1
92.9,180.2,0,0,0,2.2,19.6,2.4,0,3.96,861.6,114.5,1
108.9,123.7,1,1,1,3.1,55.28,2.2,0,3.19,867.5,181.3,1
99.6,145.6,0,0,0,4.6,13.7,2.8,0,12,1256,189.1,0
106.6,205.4,0,0,0,2.5,5.5,2.2,0,4.9,734.5,158.6,0
89.3,158.5,0,0,0,2.1,28.08,2.6,0,3.52,1119.7,116.6,1
92,126,0,1,1,1.5,2.24,2.8,1,0.22,1111,91.8,1
114.1,139.9,0,0,0,2,5,2,0,4.6,1189.6,119.8,1
102.4,128.2,1,1,1,6.8,9.2,2.2,0,0.88,1212.5,81.3,1
98.3,145.2,0,0,0,1,12.6,2.6,0,1.8,1089.1,115.2,0
97.8,163,0,1,1,5.7,20.7,2.5,1,3.7,1191.9,182.8,0
91.2,92.5,0,0,0,11.8,14,2.5,1,2.9,893.4,130.1,0
75.8,154.9,0,0,0,4.3,2,2.3,0,4.95,1638.6,172.2,1
84.1,168.8,1,0,0,4.8,5.1,2.2,1,5.5,700.8,143.4,0
103.5,159.4,0,0,0,6.4,12,3,0,21.23,1284.5,143.1,1
106.2,175.9,0,0,0,6.3,21,2.2,0,4,1365.1,135.3,0
92.8,170.2,0,1,1,1.8,18,3.2,1,2.97,751.1,125.7,1
89.3,107.3,0,0,0,11,8.4,2.1,0,18.5,687.8,184.4,0
104.6,168.1,0,0,0,4.4,6.4,2.8,0,5,1167.2,105.5,0
95.6,152.6,0,0,0,3.5,16.72,3,0,2.09,878.3,118.4,1
93.7,185.5,0,1,1,1.7,44.8,2.5,0,16.8,1255.8,108.5,0
116.9,116.8,1,0,0,5.8,24.32,2.4,1,4.4,661.2,169.8,1
112,115.1,0,1,1,5,5.28,3.2,0,1.98,1393,198.9,1
101,129.4,0,0,0,8.3,4.56,2.9,0,6.27,844.7,194.3,1
94.4,123.2,1,1,1,1.3,8,3.2,0,3.52,791.7,145.7,1
99,83.8,0,0,1,4.4,62.8,2.5,0,14.19,1253.6,199,1
114.7,121,0,0,0,3.5,90.7,2,0,12.5,1148.2,151.3,0
96.5,161.6,0,0,0,7.3,4.16,2.8,0,1.76,915.9,140.6,0
113,122,0,1,1,4.1,56,2.6,1,4.95,1490.1,92.2,1
76.1,154.4,0,0,1,2.4,2.88,3.2,0,1.65,869.4,196.3,1
136.3,164.3,0,1,1,2.9,31.12,2.3,1,15.95,901.7,181.6,1
111.7,144.6,0,1,1,4.1,11.2,2.4,0,11.88,1139.9,124.5,1
98.2,137.9,1,1,1,3.5,9.9,2.7,0,3.9,1170.5,176.8,1
105.9,113.4,0,0,1,10,14.32,2.2,0,10.89,1213.3,131.6,1
93.4,184.5,0,0,0,4.3,20.3,2.4,1,17.4,1632.5,166.4,0
113.4,135.4,1,0,1,4.5,5.4,2.1,1,19.6,938.3,179.7,0
109.2,69.9,0,1,1,2.4,6,2.5,1,18.7,1060.5,139.6,0
89.5,123.4,0,0,0,1.9,3,2.3,0,4.2,811.3,146.3,1
109.5,115.5,0,0,0,1.5,1.5,2,0,4.2,840.8,158.2,0
104.6,137.5,0,1,1,0.5,9.36,2.7,1,1.32,1010.9,164.2,1
96,162.6,1,0,1,3.5,0.1,2.4,1,12.8,685.8,137.9,0
87.1,157.9,1,1,1,1.3,33,2.8,0,19,966.9,172.8,0
104.6,196.2,0,0,0,2.4,6.96,2.9,0,84.7,940.3,173.6,1
125.9,123.7,1,1,1,4.6,5.04,3,0,11.44,1316.3,165.2,1
103.4,104.8,0,0,0,6.9,28.32,2.7,0,7.15,908.4,194,1
103.8,134.4,1,1,1,2.9,14.48,3.1,0,9.24,1230.7,81.1,1
87.2,141.6,0,0,0,3.1,6.9,2.9,0,2.8,985.9,173.8,0
107.2,139.4,0,1,1,4.1,30.4,2.4,0,10.9,937.8,198.7,0
105.1,152.5,0,0,0,3.4,9.5,2.2,1,15.6,1161,192.7,0
89.6,178.9,0,1,1,5.6,7,2.2,1,12.6,1024.6,164.7,0
107.7,195.2,0,1,1,2.3,23.1,2.7,1,30.5,866.4,124,0
93.9,224,0,0,0,4.4,3.7,2.4,0,1.5,957,154.6,0
81.7,140.4,1,1,1,3.3,26.6,2.6,0,19.5,1112.7,128.5,0
103.5,148,0,0,0,1.4,8.2,2.8,0,3.6,995.8,126.7,0
99.4,165.6,0,0,0,4.5,1.7,2.3,0,14.7,1210,109.8,0
102,116.4,1,1,1,4.3,0.32,2.6,0,9.68,996.4,161.8,1
97.1,162.7,0,0,0,7.1,6.9,2.8,0,18,1026.4,178.7,0
112.4,91.2,0,0,0,4.1,59.1,2.5,0,21.8,460.3,193.4,0
103.7,139.2,0,0,1,1.2,9.28,3,0,14.96,908.3,192.8,1
99.4,128.1,0,0,0,2.7,20.8,2,0,2.6,1135.1,189.9,0
101.6,126.5,1,0,1,20.6,0.2,3,1,28.3,1004.5,163,0
87.9,125.2,0,1,1,8.1,17.1,2.2,1,24.3,878.5,177.5,0
109.8,133.3,0,1,1,2.2,127.68,3.1,0,9.13,759.3,107.1,1
90.3,136.1,1,0,0,2.4,8.5,2.4,1,0.8,1048,178.1,0
92.1,192.9,0,0,0,13,2.9,2.2,1,0.4,857.1,140.2,0
108.3,203.5,0,0,1,1.5,32.2,2,0,11.9,1154.5,112.1,0
106.8,75.3,1,0,0,0.4,22.32,2.6,1,4.51,815.3,133.8,1
112.6,143.8,1,1,1,4.9,36,2.8,0,2.31,940,102.5,1
94.9,168.6,0,0,0,4,116.9,2.1,0,7.4,1108.4,188.5,0
84.1,157,0,0,0,4.1,54.8,2.8,0,8.3,1026.9,139.9,0
94.9,146.6,1,1,1,7.3,30.2,2.3,0,9,1043.8,139.4,0
96.2,161.5,0,0,0,6.8,10.3,2.6,0,10.8,1055.7,119.1,0
96.4,110.2,1,1,1,13.3,12.3,2.4,0,3.7,1056.6,157.9,0
82.6,177.3,0,0,0,9.7,44.48,3.2,0,14.19,1163.9,131.5,1
120,110.2,0,0,0,6.2,7.92,2.6,0,2.2,635.5,82.5,1
104.9,177.3,0,1,1,9.6,19.1,2.4,1,38.8,795.8,180.4,0
94.1,154.8,1,1,1,1.9,4.9,2.7,0,3.6,1109.6,118.2,0
93.4,123.1,0,0,0,4.5,18.5,2.4,0,23.4,836.2,170.4,1
88.5,171.4,0,0,0,1.8,0.4,2.9,0,7.04,923.6,190.1,1
113.6,105.1,0,1,1,3.6,28.56,2.3,1,24.86,645.6,195.7,1
114.1,147.5,0,0,0,1,15.6,2.7,1,10.4,479.8,101.1,0
106.1,85.3,0,0,0,4.8,5.92,3.1,0,11.33,882.8,96.6,1
95.5,134.2,1,0,0,7.2,14.56,2.6,1,25.96,926.2,158.5,1
90.7,115.4,0,1,1,8.6,7.2,2.2,0,11.7,1224.1,105.3,0
100.6,147.7,1,0,0,8.2,1.6,2.5,1,1.6,1271.6,187,0
128.9,89.8,1,1,1,2,20.56,2.5,0,11.99,1070.1,86.4,1
102.3,194.5,0,1,1,6.4,1.2,2.5,0,0.8,757.3,141.2,0
94.1,206.4,0,0,1,3.6,13.9,2,0,12.6,914.3,133.2,0
95.6,144.9,0,1,1,6.1,1.2,2.5,1,29.26,968.1,187.5,1
97.8,136.2,1,0,1,3.7,51.28,2.4,1,3.41,756.7,174.4,1
98.8,126,0,0,0,2,18.3,2,0,15.4,823.2,165.3,0
92.4,186.4,0,0,0,21.1,12.7,2.1,0,1.3,1117.2,175.8,0
104.8,167.6,0,0,1,7,17.52,2.6,0,15.29,1182.3,86.6,1
117,121.2,0,1,1,1.5,17.76,2.3,0,4.29,1013.2,134.2,1
90.9,144.4,0,0,0,3.2,8,2.8,0,2.2,1086.9,194.4,1
97.6,204.2,0,1,1,3.2,37.7,3,0,17,1082.7,182.1,0
103.8,121.7,0,0,0,2.1,46.6,2.4,1,4.4,787.9,134.2,0
110.6,173,0,1,1,1.1,26.9,2.5,1,10.8,1009.4,193.2,0
111.1,104.2,0,0,0,3.5,36,2.5,0,9.02,1022.3,114.6,1
91.9,177.8,0,1,1,4.5,32.2,2.8,1,13.1,1074.4,127.4,0
115.8,93.1,0,0,0,3.2,12.96,3,0,12.54,1172.6,125.6,1
123.4,152.3,0,1,1,11.4,45.92,2.8,1,3.63,535.9,117.3,1
93.1,103.4,1,1,1,7.8,19.2,2.2,0,3.9,1165.1,148.8,0
102.1,129.7,0,0,0,4.9,0.72,3.1,0,11.88,855.8,148.6,1
113.2,92.4,0,0,0,4,3.5,2.8,0,1.6,1020.3,123.2,0
88.7,165,0,0,0,5.7,10.2,2.6,1,0.1,908,175,0
92.4,174.6,0,0,1,6.6,19.2,2.7,0,2.1,949.4,114.9,0
99.9,125.9,1,0,0,4.7,39.4,2.1,1,4.6,933,156.6,1
99.3,153.3,0,0,0,1.4,18.72,3,0,18.26,999.9,124.6,1
105.9,200.8,1,0,1,4.2,5.6,2,1,14.4,1160.8,194.7,0
105.4,110.3,1,0,0,2.5,43.36,2.3,1,5.94,1167.2,137.7,1
109.3,125.5,1,1,1,1.3,8.48,3.1,0,6.93,1081.3,138.8,1
105.2,144.3,0,0,0,3.9,35.52,2.5,0,28.05,695.4,160.4,1
101.1,162.9,1,1,1,2.3,50.1,2.5,0,13.3,1117,140.4,0
106.8,112.5,1,1,1,2.4,7.2,2.8,0,9.9,1130.7,130.3,1
88.4,177.2,0,0,0,3.6,0.2,2.5,0,3.2,748.8,169.7,0
102.6,165.9,0,0,0,3.5,21.6,3,0,5.4,942.1,194.5,0
